IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
262144,	262144,	262144,	Conv1,	1.644969954857817,	0.0007799009417484404,	5.745732434401214,	25.856593006346625,	5.745732434401214,
262144,	262144,	262144,	Conv2,	1.7781873556565764,	0.0038360464746021133,	0.6623706775537794,	28.617446768923777,	0.6623706775537794,
262144,	262144,	262144,	Conv3,	1.8039614244360036,	0.017170364539545544,	0.3672848289787164,	29.981470268356812,	0.3672848289787164,
262144,	262144,	262144,	Conv4,	13.732293556892234,	0.01426616001365316,	1.3732293556892234,	26.375240758864976,	1.3732293556892234,
262144,	262144,	262144,	Conv5,	1.8039614244360036,	0.017170364539545544,	0.3672848289787164,	29.981470268356812,	0.3672848289787164,
262144,	262144,	262144,	Conv6,	1.8517900208856408,	0.07025311604090331,	0.18265206362160077,	29.83363543412296,	0.18265206362160077,
262144,	262144,	262144,	Conv7,	13.82656877079312,	0.06500645739803561,	0.7681427094885066,	27.881185859984566,	0.7681427094885066,
262144,	262144,	262144,	Conv8,	1.8517900208856408,	0.07025311604090331,	0.18265206362160077,	29.83363543412296,	0.18265206362160077,
262144,	262144,	262144,	Conv9,	0.05398023228729751,	0.31605072982479543,	0.0935828521698927,	30.222641881264853,	0.0935828521698927,
262144,	262144,	262144,	Conv10,	13.536175236836485,	0.2640802362924966,	0.3760048676899024,	27.385961872448796,	0.3760048676899024,
262144,	262144,	262144,	Conv11,	0.05398023228729751,	0.31605072982479543,	0.0935828521698927,	30.222641881264853,	0.0935828521698927,
262144,	262144,	262144,	Conv12,	13.536175236836485,	0.2640802362924966,	0.3760048676899024,	27.385961872448796,	0.3760048676899024,
262144,	262144,	262144,	Conv13,	0.05398023228729751,	0.31605072982479543,	0.0935828521698927,	30.222641881264853,	0.0935828521698927,
262144,	262144,	262144,	Conv14,	0.029854250615549555,	1.5351719094307037,	0.04484771870247,	29.587951477513297,	0.04484771870247,
262144,	262144,	262144,	Conv15,	0.3722835323222545,	1.132270624932774,	0.18614176616112724,	27.48951059481553,	0.18614176616112724,
262144,	262144,	262144,	Conv16,	0.029854250615549555,	1.5351719094307037,	0.04484771870247,	29.587951477513297,	0.04484771870247,
262144,	262144,	262144,	Conv17,	0.3722835323222545,	1.132270624932774,	0.18614176616112724,	27.48951059481553,	0.18614176616112724,
262144,	262144,	262144,	Conv18,	0.029854250615549555,	1.5351719094307037,	0.04484771870247,	29.587951477513297,	0.04484771870247,
262144,	262144,	262144,	Conv19,	0.030022786826094962,	2.31148771639308,	0.022550448771600215,	29.754983958527898,	0.022550448771600215,
262144,	262144,	262144,	Conv20,	0.030022786826094962,	2.31148771639308,	0.022550448771600215,	29.754983958527898,	0.022550448771600215,
262144,	262144,	262144,	Conv21,	2.5608849667640645,	5.209573285370028,	0.007545212919136652,	29.86739062447476,	0.007545212919136652,
262144,	262144,	262144,	Conv22,	0.4441056988808565,	1.1194617025044076,	0.184321212914418,	27.19557167163237,	0.184321212914418,
